Player_Name1,Player_Name2,Number_of_years_played_together
Ronaldo,Cristiano Ronaldo,0
Ronaldo,Alfredo Di Stéfano,0
Santiago Bernabéu,Luís Figo,0
Santiago Bernabéu,Sergio Ramos,0
Santiago Bernabéu,Luka Modrić,0
Santiago Bernabéu,Ricardo Zamora,0
Santiago Bernabéu,Butragueño,0
Santiago Bernabéu,Pirri,0
Santiago Bernabéu,Toni Kroos,0
Santiago Bernabéu,Hugo Sánchez,0
Santiago Bernabéu,Raymond Kopa,0
Santiago Bernabéu,Ferenc Puskás,0
Santiago Bernabéu,Raúl,0
Santiago Bernabéu,Zinédine Zidane,0
Santiago Bernabéu,Cristiano Ronaldo,0
Santiago Bernabéu,Alfredo Di Stéfano,0
Luís Figo,Sergio Ramos,0
Luís Figo,Luka Modrić,0
Luís Figo,Ricardo Zamora,0
Luís Figo,Butragueño,0
Luís Figo,Pirri,0
Luís Figo,Toni Kroos,0
Luís Figo,Hugo Sánchez,0
Luís Figo,Raymond Kopa,0
Luís Figo,Ferenc Puskás,0
Luís Figo,Raúl,5
Luís Figo,Zinédine Zidane,4
Luís Figo,Cristiano Ronaldo,0
Luís Figo,Alfredo Di Stéfano,0
Sergio Ramos,Luka Modrić,9
Sergio Ramos,Ricardo Zamora,0
Sergio Ramos,Butragueño,0
Sergio Ramos,Pirri,0
Sergio Ramos,Toni Kroos,7
Sergio Ramos,Hugo Sánchez,0
Sergio Ramos,Raymond Kopa,0
Sergio Ramos,Ferenc Puskás,0
Sergio Ramos,Raúl,5
Sergio Ramos,Zinédine Zidane,1
Sergio Ramos,Cristiano Ronaldo,9
Sergio Ramos,Alfredo Di Stéfano,0
Luka Modrić,Ricardo Zamora,0
Luka Modrić,Butragueño,0
Luka Modrić,Pirri,0
Luka Modrić,Toni Kroos,10
Luka Modrić,Hugo Sánchez,0
Luka Modrić,Raymond Kopa,0
Luka Modrić,Ferenc Puskás,0
Luka Modrić,Raúl,0
Luka Modrić,Zinédine Zidane,0
Luka Modrić,Cristiano Ronaldo,6
Luka Modrić,Alfredo Di Stéfano,0
Ricardo Zamora,Butragueño,0
Ricardo Zamora,Pirri,0
Ricardo Zamora,Toni Kroos,0
Ricardo Zamora,Hugo Sánchez,0
Ricardo Zamora,Raymond Kopa,0
Ricardo Zamora,Ferenc Puskás,0
Ricardo Zamora,Raúl,0
Ricardo Zamora,Zinédine Zidane,0
Ricardo Zamora,Cristiano Ronaldo,0
Ricardo Zamora,Alfredo Di Stéfano,0
Butragueño,Pirri,0
Butragueño,Toni Kroos,0
Butragueño,Hugo Sánchez,7
Butragueño,Raymond Kopa,0
Butragueño,Ferenc Puskás,0
Butragueño,Raúl,1
Butragueño,Zinédine Zidane,0
Butragueño,Cristiano Ronaldo,0
Butragueño,Alfredo Di Stéfano,0
Pirri,Toni Kroos,0
Pirri,Hugo Sánchez,0
Pirri,Raymond Kopa,0
Pirri,Ferenc Puskás,2
Pirri,Raúl,0
Pirri,Zinédine Zidane,0
Pirri,Cristiano Ronaldo,0
Pirri,Alfredo Di Stéfano,0
Toni Kroos,Hugo Sánchez,0
Toni Kroos,Raymond Kopa,0
Toni Kroos,Ferenc Puskás,0
Toni Kroos,Raúl,0
Toni Kroos,Zinédine Zidane,0
Toni Kroos,Cristiano Ronaldo,4
Toni Kroos,Alfredo Di Stéfano,0
Hugo Sánchez,Raymond Kopa,0
Hugo Sánchez,Ferenc Puskás,0
Hugo Sánchez,Raúl,0
Hugo Sánchez,Zinédine Zidane,0
Hugo Sánchez,Cristiano Ronaldo,0
Hugo Sánchez,Alfredo Di Stéfano,0
Raymond Kopa,Ferenc Puskás,3
Raymond Kopa,Raúl,0
Raymond Kopa,Zinédine Zidane,0
Raymond Kopa,Cristiano Ronaldo,0
Raymond Kopa,Alfredo Di Stéfano,3
Ferenc Puskás,Raúl,0
Ferenc Puskás,Zinédine Zidane,0
Ferenc Puskás,Cristiano Ronaldo,0
Ferenc Puskás,Alfredo Di Stéfano,8
Raúl,Zinédine Zidane,5
Raúl,Cristiano Ronaldo,1
Raúl,Alfredo Di Stéfano,0
Zinédine Zidane,Cristiano Ronaldo,0
Zinédine Zidane,Alfredo Di Stéfano,0
Cristiano Ronaldo,Alfredo Di Stéfano,0
